Player Name,ID,2017,2018,2019,2020,2021,2022,2016
Hasan Ali,2911de16,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Islamabad United,Islamabad United,Peshawar Zalmi
Hassan Khan,486065b3,Quetta Gladiators,Quetta Gladiators,Lahore Qalandars,NA,Quetta Gladiators,Quetta Gladiators,NA
Hazratullah,5ea51c25,NA,NA,NA,NA,Peshawar Zalmi,Peshawar Zalmi,NA
HC Brook,4ae1755b,NA,NA,NA,NA,NA,Lahore Qalandars,NA
HF Gurney,e412cb64,NA,NA,Quetta Gladiators,NA,NA,NA,NA
Hussain Talat,bb4b445b,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Peshawar Zalmi,NA
IA Cockbain,542fd5a6,NA,NA,NA,NA,NA,Karachi Kings,NA
Ibtisam Sheikh,a6fc52a9,NA,Peshawar Zalmi,Peshawar Zalmi,NA,NA,NA,NA
Iftikhar Ahmed,29e253dd,Peshawar Zalmi,Islamabad United,Karachi Kings,Karachi Kings,Islamabad United,Quetta Gladiators,Karachi Kings
Ihsanullah,c290033d,NA,NA,NA,NA,NA,Multan Sultans,NA
Imad Wasim,9cb8d7a6,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings
Imam-ul-Haq,40c041ea,NA,NA,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,NA,NA
Imran Khalid,b8eddbdb,Islamabad United,NA,NA,NA,NA,NA,Islamabad United
Imran Khan (1),195fb6db,Peshawar Zalmi,Lahore Qalandars,NA,NA,NA,NA,Peshawar Zalmi
Imran Khan (2),2b0f2af3,NA,NA,NA,NA,Multan Sultans,Multan Sultans,NA
Imran Tahir,acee4cc4,NA,Multan Sultans,NA,Multan Sultans,Multan Sultans,Multan Sultans,NA
IR Bell,33155d1b,NA,NA,Islamabad United,NA,NA,NA,NA
J Allenby,7d5e0b78,NA,NA,NA,NA,NA,NA,Peshawar Zalmi
J Charles,09a9d073,NA,NA,Multan Sultans,NA,Multan Sultans,Multan Sultans,NA
J Weatherald,edc7ddb6,NA,NA,NA,NA,Quetta Gladiators,NA,NA
JA Thompson,1d2f290a,NA,NA,NA,NA,NA,Karachi Kings,NA
JC Archer,5574750c,NA,Quetta Gladiators,NA,NA,NA,NA,NA
JD Wildermuth,f1c61793,NA,NA,NA,NA,Quetta Gladiators,NA,NA
JJ Roy,d1c36f5c,Lahore Qalandars,Quetta Gladiators,NA,Quetta Gladiators,NA,Quetta Gladiators,NA
JL Denly,bdadf7da,NA,Karachi Kings,NA,NA,Lahore Qalandars,NA,NA
JM Bairstow,abb83e27,NA,NA,NA,NA,NA,NA,Peshawar Zalmi
JM Clarke,2eca67f5,NA,NA,NA,NA,Karachi Kings,Karachi Kings,NA
JM Vince,a15618fe,NA,NA,Multan Sultans,Multan Sultans,Multan Sultans,Quetta Gladiators,Karachi Kings
JP Duminy,2e8994e7,NA,Islamabad United,NA,NA,NA,NA,NA
JP Faulkner,808f425a,NA,NA,NA,NA,Lahore Qalandars,Quetta Gladiators,NA
Junaid Khan,086f5984,Peshawar Zalmi,Multan Sultans,Multan Sultans,Multan Sultans,NA,NA,Peshawar Zalmi
JW Hastings,012829ff,NA,Quetta Gladiators,NA,NA,NA,NA,NA
JW Wells,8bdac857,NA,NA,NA,NA,Peshawar Zalmi,NA,NA
KA Pollard,a757b0d8,Karachi Kings,Multan Sultans,Peshawar Zalmi,NA,NA,NA,NA
