Player1,Player2,Matches
Mohammad Hafeez,Fakhar Zaman,0.1
Fakhar Zaman,Shahid Afridi,0.125
Shahid Afridi,Fakhar Zaman,0.1
Fakhar Zaman,Wahab Riaz,0.125
Wahab Riaz,Fakhar Zaman,0.1
GD Elliott,Hasan Ali,0.14285714285714285
Hasan Ali,GD Elliott,0.09090909090909091
GD Elliott,Mohammad Hafeez,0.14285714285714285
Mohammad Hafeez,GD Elliott,0.1
JJ Roy,Hasan Ali,0.2
Hasan Ali,JJ Roy,0.09090909090909091
JJ Roy,Mohammad Asghar,0.2
Mohammad Asghar,JJ Roy,0.14285714285714285
Mohammad Irfan (4),CJ Jordan,0.14285714285714285
CJ Jordan,Mohammad Irfan (4),0.16666666666666666
Mohammad Rizwan,Hasan Ali,0.125
Hasan Ali,Mohammad Rizwan,0.09090909090909091
Mohammad Rizwan,Wahab Riaz,0.125
Wahab Riaz,Mohammad Rizwan,0.1
SP Narine,Mohammad Hafeez,0.375
Mohammad Hafeez,SP Narine,0.2
SP Narine,Wahab Riaz,0.125
Wahab Riaz,SP Narine,0.1
Sohail Tanvir,Mohammad Hafeez,0.125
Mohammad Hafeez,Sohail Tanvir,0.1
Sohail Tanvir,Wahab Riaz,0.125
Wahab Riaz,Sohail Tanvir,0.1
Umar Akmal,Hasan Ali,0.125
Hasan Ali,Umar Akmal,0.09090909090909091
Ahmed Shehzad,Mohammad Irfan,0.1
Mohammad Irfan,Ahmed Shehzad,0.125
Ahmed Shehzad,Mohammad Sami,0.1
Mohammad Sami,Ahmed Shehzad,0.1111111111111111
Ahmed Shehzad,Rumman Raees,0.1
Rumman Raees,Ahmed Shehzad,0.14285714285714285
Asad Shafiq,Mohammad Irfan,0.14285714285714285
Mohammad Irfan,Asad Shafiq,0.125
Asad Shafiq,Mohammad Sami,0.14285714285714285
Mohammad Sami,Asad Shafiq,0.1111111111111111
Asad Shafiq,Rumman Raees,0.14285714285714285
Rumman Raees,Asad Shafiq,0.14285714285714285
