Player1,Player2,Matches
SW Billings,SP Narine,0.1
SP Narine,SW Billings,0.058823529411764705
SW Billings,Sohail Tanvir,0.1
Sohail Tanvir,SW Billings,0.016666666666666666
SW Billings,Yasir Shah,0.1
Yasir Shah,SW Billings,0.037037037037037035
Shadab Khan,Mohammad Irfan (4),0.04918032786885246
Mohammad Irfan (4),Shadab Khan,0.2
Shadab Khan,Sohail Tanvir,0.06557377049180328
Sohail Tanvir,Shadab Khan,0.08333333333333333
Babar Azam,Anwar Ali,0.029850746268656716
Anwar Ali,Babar Azam,0.075
Babar Azam,Hassan Khan,0.05970149253731343
Hassan Khan,Babar Azam,0.17857142857142858
Babar Azam,Mohammad Nawaz,0.08955223880597014
Mohammad Nawaz,Babar Azam,0.10606060606060606
Babar Azam,NLTC Perera,0.014925373134328358
NLTC Perera,Babar Azam,0.1
Babar Azam,TS Mills,0.04477611940298507
TS Mills,Babar Azam,0.19047619047619047
Babar Azam,Zulfiqar Babar,0.029850746268656716
Zulfiqar Babar,Babar Azam,0.16666666666666666
CH Gayle,Anwar Ali,0.1875
Anwar Ali,CH Gayle,0.1
CH Gayle,NLTC Perera,0.0625
NLTC Perera,CH Gayle,0.1
CH Gayle,TS Mills,0.125
TS Mills,CH Gayle,0.14285714285714285
CH Gayle,Zulfiqar Babar,0.125
Zulfiqar Babar,CH Gayle,0.16666666666666666
Imad Wasim,TS Mills,0.029850746268656716
TS Mills,Imad Wasim,0.14285714285714285
KA Pollard,Mohammad Nawaz,0.0625
Mohammad Nawaz,KA Pollard,0.045454545454545456
KA Pollard,TS Mills,0.0625
TS Mills,KA Pollard,0.14285714285714285
KA Pollard,Zulfiqar Babar,0.03125
Zulfiqar Babar,KA Pollard,0.05555555555555555
KC Sangakkara,Hassan Khan,0.08695652173913043
Hassan Khan,KC Sangakkara,0.10714285714285714
KC Sangakkara,Mohammad Nawaz,0.13043478260869565
Mohammad Nawaz,KC Sangakkara,0.06060606060606061
KC Sangakkara,NLTC Perera,0.043478260869565216
NLTC Perera,KC Sangakkara,0.1
KC Sangakkara,Zulfiqar Babar,0.043478260869565216
Zulfiqar Babar,KC Sangakkara,0.05555555555555555
RS Bopara,Anwar Ali,0.10526315789473684
Anwar Ali,RS Bopara,0.125
RS Bopara,NLTC Perera,0.02631578947368421
NLTC Perera,RS Bopara,0.1
RS Bopara,TS Mills,0.02631578947368421
TS Mills,RS Bopara,0.047619047619047616
Shahzaib Hasan,Anwar Ali,0.25
Anwar Ali,Shahzaib Hasan,0.025
Shahzaib Hasan,TS Mills,0.25
TS Mills,Shahzaib Hasan,0.047619047619047616
Shoaib Malik,Anwar Ali,0.056338028169014086
Anwar Ali,Shoaib Malik,0.125
Shoaib Malik,Mohammad Nawaz,0.11267605633802817
Mohammad Nawaz,Shoaib Malik,0.13636363636363635
Shoaib Malik,NLTC Perera,0.014084507042253521
NLTC Perera,Shoaib Malik,0.1
Sohail Khan,TS Mills,0.024390243902439025
TS Mills,Sohail Khan,0.047619047619047616
BB McCullum,Mohammad Asghar,0.05555555555555555
Mohammad Asghar,BB McCullum,0.047619047619047616
Bilawal Bhatti,Shahid Afridi,0.125
Shahid Afridi,Bilawal Bhatti,0.018867924528301886
Fakhar Zaman,CJ Jordan,0.031746031746031744
CJ Jordan,Fakhar Zaman,0.1111111111111111
Fakhar Zaman,Hasan Ali,0.09523809523809523
Hasan Ali,Fakhar Zaman,0.109375
